date,sector,benchmark,benchmark_price,ret_1w,ret_4w,ret_12w,ret_26w,ret_52w,rel_spy_4w,rel_spy_12w,rel_spy_26w,vs_10w_ma,vs_40w_ma,breadth_above_10w,breadth_above_40w,breadth_positive_4w,breadth_positive_12w,basket_rel_spy_4w,basket_rel_spy_12w,basket_rel_spy_26w,volatility_12w_ann,volume_ratio_4w_vs_prev12,score,delta_4w,signal
2024-02-02,ENERGY,XLE,41.7599983215332,-0.0086647282722088,-0.0136986733340679,,,,-0.0701826704218803,,,,,,,0.1666666666666666,,-0.0825795972213826,,,,,,,N/A
2024-02-02,FINANCIALS,XLF,38.97999954223633,0.0085381113409908,0.0325827693307636,,,,-0.0239012277570487,,,,,,,0.5,,-0.0742050738998058,,,,,,,N/A
2024-02-02,HEALTHCARE,XLV,141.99000549316406,0.0195304167247805,0.0206297475324019,,,,-0.0358542495554103,,,,,,,0.6666666666666666,,-0.0331327242061974,,,,,,,N/A
2024-02-02,MATERIALS,XLB,41.54499816894531,0.0070293805192556,-0.0148209634132794,,,,-0.0713049605010918,,,,,,,0.1666666666666666,,-0.0894674561220039,,,,,,,N/A
2024-02-02,NUCLEAR,URA,31.520000457763672,0.0652247480643215,0.1691395225572283,,,,0.1126555254694159,,,,,,,1.0,,0.0709732531315182,,,,,,,N/A
2024-02-02,POWER_INDUSTRIALS,XLI,115.58000183105467,0.0189544346301195,0.0372431258594023,,,,-0.01924087122841,,,,,,,1.0,,0.0207673929135899,,,,,,,N/A
2024-02-02,SEMI,SOXX,198.8233337402344,-0.0021747545752819,0.1008231619099113,,,,0.0443391648220989,,,,,,,1.0,,0.0951669924029881,,,,,,,N/A
2024-02-09,AI_SOFTWARE,IGV,88.4020004272461,0.0294145161945174,0.0815552554716796,,,,0.0301160931237698,,,,,,,1.0,,0.0896561525446564,,,,,,,N/A
2024-02-09,COMMUNICATION_SERVICES,XLC,79.16999816894531,-0.0071482281175631,0.0726188970009997,,,,0.0211797346530899,,,,,,,0.8333333333333334,,0.0660883264340599,,,,,,,N/A
2024-02-09,CONSUMER_DISCRETIONARY,XLY,89.94999694824219,0.0145498898358844,0.0341457056413396,,,,-0.0172934567065701,,,,,,,0.5,,-0.0433263681533152,,,,,,,N/A
2024-02-09,CONSUMER_STAPLES,XLP,73.11000061035156,-0.0142914599536496,0.0042582080439386,,,,-0.0471809543039711,,,,,,,0.8333333333333334,,-0.0270537087421982,,,,,,,N/A
2024-02-09,DEFENSIVE,XLU,30.13500022888184,-0.0198406438022648,-0.0481680235590692,,,,-0.099607185906979,,,,,,,0.5,,-0.0551394474883961,,,,,,,N/A
2024-02-09,ENERGY,XLE,41.65499877929688,-0.0025143569553781,0.0076197055042648,,,,-0.0438194568436449,,,,,,,0.5,,-0.0543712802878712,,,,,,,N/A
2024-02-09,FINANCIALS,XLF,39.08000183105469,0.0025654769110503,0.0393617930051841,,,,-0.0120773693427256,,,,,,,0.6666666666666666,,-0.0501728077119796,,,,,,,N/A
2024-02-09,HEALTHCARE,XLV,144.00999450683594,0.0142262760442608,0.0248362519802383,,,,-0.0266029103676714,,,,,,,0.6666666666666666,,-0.0073531207815874,,,,,,,N/A
